Requirement ID,Specification section,Architecture component,Planned implementation location,Positive test obligation,Negative or boundary test obligation,Deployment verification obligation,External dependency,Current status,Notes
VF-RAC-008,9,BASE-RAC,Base,Confirm after VCLM capacity=0 later fees create no RAC (fee verification still proceeds),Confirm RAC after cap,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Terminal RAC; fee verification independent
VF-STK-001,10,BASE-STAKE,Base,Confirm stake active from launch; not dependent on CHONX activation,Confirm stake gated on CHONX,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Stake from launch
VF-STK-002,10,BASE-STAKE,Base,Confirm only VCLM/CHONX/SYNTH stakable,Confirm other token staked,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Stake tokens
VF-STK-003,10.1,BASE-STAKE + BASE-MULT,Base,Confirm only listed token+duration multipliers apply,Confirm other multiplier,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Stake multipliers
VF-STK-004,10.1,BASE-EPOCH,Base,Confirm rewards paid only in newly minted VCLM,Confirm reward in other token,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Reward token
VF-STK-005,10.1,BASE-STAKE,Base,Confirm S1/S2/S3 + acquisition history never affect Weight,Confirm classification affects Weight,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Stake classification-neutral
VF-STK-006,10.2,BASE-EPOCH,Base,Confirm every epoch = exactly 10 days; delayed processing never changes boundaries,Confirm epoch length differs; confirm boundary shifted by delay,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Epoch duration + fixed boundaries
VF-STK-007,10.2,BASE-RAC,Base,Confirm credit belongs to epoch recorded; not added to ended epoch,Confirm credit added to ended epoch,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Credit epoch binding
VF-STK-008,10.2,BASE-EPOCH,Base,Confirm anyone may finalize after scheduled end (phase 1 close),Confirm finalization restricted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Permissionless finalization
VF-STK-009,10.2,BASE-EPOCH,Base,Confirm delayed finalization does not shift/lengthen/shorten/reset epoch boundary,Confirm boundary shifted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Epoch boundary fixed
VF-STK-010,10.2,BASE-EPOCH,Base,Confirm pending epochs finalized in chronological order,Confirm out-of-order finalization,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Chronological finalization
VF-STK-011,10.3,BASE-STAKE,Base,Confirm position beginning after epoch start does not qualify for N,Confirm late position qualifies,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Position start eligibility
VF-STK-012,10.3,BASE-STAKE,Base,Confirm position expiring before end of N+1 does not qualify for N,Confirm expired position rewarded,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Position expiry eligibility
VF-STK-013,10.3,BASE-STAKE + BASE-EPOCH,Base,Confirm entitlement for N fixed only after scheduled end of N+1 (phase 2 allocate),Confirm earlier fixation,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Entitlement fixation after N+1
VF-STK-014,10.3,BASE-EPOCH + BASE-STAKE,Base,Confirm Epoch Reward VCLM minted once to immutable stake contract only after eligibility period elapsed; proportional entitlements recorded,Confirm per-position minting; confirm mint before N+1 end,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Single mint at allocation
VF-STK-015,10.3,BASE-EPOCH,Base,Confirm zero-eligible epoch mints nothing/closes/marks credits used (at allocation),Confirm value carried,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Zero-eligible epoch
VF-STK-016,10.4,BASE-STAKE,Base,Confirm claimable VCLM accumulates and never expires,Confirm expiry,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Claimable permanence
VF-STK-017,10.4,BASE-STAKE,Base,Confirm user may claim all accumulated in one tx,Confirm forced partial claim,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Single-claim
VF-STK-018,10.4,BASE-STAKE,Base,Confirm claims transfer minted VCLM; no re-mint/recalc/capacity,Confirm re-mint on claim,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Claim no re-mint
VF-STK-019,10.4,BASE-STAKE,Base,Confirm claims only to owner or bound reward destination,Confirm claim to other,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Claim destination
VF-STK-020,10.4,BASE-STAKE,Base,Confirm withdrawal of matured staked tokens does not erase claimable VCLM,Confirm claimable erased on withdraw,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Withdrawal preserves claimable
VF-STK-021,10.5,BASE-STAKE,Base,Confirm while active may queue one future term 30/60/90/120d,Confirm other term queued,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Queue terms
VF-STK-022,10.5,BASE-STAKE,Base,Confirm queued term begins at scheduled end of current term; current multiplier until then,Confirm immediate multiplier change,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Queue start
VF-STK-023,10.5,BASE-STAKE,Base,Confirm only one future term queued at a time,Confirm multiple queued,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Single queue
VF-STK-024,10.5,BASE-STAKE,Base,Confirm extension adds/removes no tokens and charges no fee,Confirm token/fee change,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Extension no-op
VF-STK-025,10.5,BASE-STAKE,Base,Confirm without queued extension position inactive at maturity; expired cannot cover gap,Confirm retroactive coverage,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,No retroactive coverage
VF-STK-026,10.6,BASE-STAKE,Base,Confirm proportional share at 18-decimal VCLM precision; rounds down to base unit,Confirm round-up,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Distribution rounding
VF-STK-027,10.6,BASE-STAKE,Base,Confirm microscopic remainder inaccessible; not carried/redirected/reused,Confirm remainder reused,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Remainder inaccessible
VF-STK-028,10.6,BASE-EPOCH + BASE-CAP,Base,Confirm epoch reward exceeding remaining VCLM capacity (at phase-2 allocate) mints nothing/closes/marks credits used,Confirm partial mint,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Epoch cap rejection at allocation
VF-STK-029,10.6,BASE-STAKE + BASE-CAP,Base,Confirm at zero VCLM capacity stake closes to new positions+extensions,Confirm new position at cap,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Stake terminal
VF-STK-030,10.6,BASE-STAKE,Base,Confirm at terminal state staked tokens immediately withdrawable; claimable rewards remain,Confirm withdrawals blocked,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Terminal withdrawal
VF-STK-031,10.6,BASE-STAKE,Base,Confirm position requires positive nonzero token amount; no other minimum,Confirm zero/extra minimum,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Position minimum
VF-XCH-001,11.1,BASE-REG + SRC-LOCK,Base/Source,Confirm supported set = exactly 17 listed environments,Confirm 18th env,Confirm exact 17 recorded,N/A,RESOLVED — ARCHITECTURE DEFINED,17 environments already defined in the current governing implementation constants (row 54 BCH already in Bitcoin Cash in the current governing registry; Section C.17/K.1)
VF-XCH-002,11.1,DEPLOY-FIN,Deployment,Confirm no env add/remove/substitute without later spec decision,Confirm env substituted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Set immutability; environment set fixed at 17 in the current governing inputs (row 54 BCH already in Bitcoin Cash)
VF-XCH-003,11.1,DEPLOY-MANIFEST,Deployment,Confirm deployment records exact canonical network/chain id per env (Cosmos Hub identified),Confirm missing id,Confirm 17 ids recorded,Canonical chain ids (deferred),DEFERRED EXTERNAL INPUT,Chain identifiers; 17 environments (already in current governing constants) incl. Bitcoin Cash; Cosmos Hub is intended env (row 479); exact id deferred
VF-XCH-004,11.1,SRC-LOCK,Source,Confirm principal remains on source; no bridge as part of lock,Confirm principal bridged,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,No bridge of principal
VF-XCH-005,11.1,SRC-BIND,Source,Confirm source binds user/principal-release dest/asset/amount/creation/maturity within the chain-native atomic construction (verified at recognition),Confirm missing binding,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,Source binding within chain-native construction; RESOLVED — DEPLOYABLE MECHANISM ESTABLISHED on EVM/Solana/UTXO(-script)/Stellar(memo); DESIGN DEFINED on XRPL atomic design; EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE on Cosmos Hub; arbitrary raw tx creates no rights (Section Q.4)
VF-XCH-006,11.2,BASE-VERIFY,Base,Confirm no issuance until source satisfies documented exact finality (Section C),Confirm pre-finality issuance,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,Finality gate; rules cited for 13; 4 confirmation-count DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED (incl. BCH); proof paths DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-XCH-007,11.2,DEPLOY-FIN + architecture,Architecture/Deployment,Confirm architecture documents exact finality for all 17,Confirm missing finality,Confirm 17 documented,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,13 rules RESOLVED + 4 DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED (LTC/Doge/DGB/BCH confirmation counts) + Arbitrum exact window DESIGN DEFINED + BCH environment present in current governing inputs
VF-XCH-008,11.2,SRC-LOCK,Source,Confirm relayer/human cannot shorten/waive finality,Confirm waived finality,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Finality not waivable
VF-XCH-009,11.2,BASE-VERIFY,Base,Confirm delays do not alter Valuation Timestamp/lock timestamp/maturity/output/recipient/issuance,Confirm alteration,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Delay invariance
VF-XCH-010,11.2,VERIFY-TEST,Tests,Confirm premature/unconfirmed/reversed events cannot authorize issuance (per-env reorg handling Section C),Confirm reversed event issued,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,Reversal tests; deployable proof paths not established for most envs (Section O)
VF-XCH-011,11.3,SRC-EVID + BASE-VERIFY,Source/Base,Confirm evidence binds all VF-XCH-011 fields incl. rac_identity + handshake_identity + handshake_allowance_count + chonx_activation_receipt + asset_precision,Confirm missing field,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Evidence schema; RAC identity from immutable facts (Section D); Handshake identity per source-chain identity (canonical release public key for UTXO-family mechanisms R.13) + one-or-three allowance (Section Q.2)
VF-XCH-012,11.3,RELAY,Off-chain,Confirm relayer cannot change contents/choose output/redirect/approve; signature does not establish truth,Confirm relayer authority,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Relayer transport-only
VF-XCH-013,11.3,BASE-VERIFY,Base,Confirm (env+lock id) authorizes issuance only once,Confirm duplicate issuance,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Single issuance
VF-XCH-014,11.3,BASE-VERIFY,Base,Confirm failed/unverifiable proof does not consume id; corrected resubmission allowed; no duplicate RAC,Confirm id consumed on failure; confirm duplicate RAC,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Resubmission; RAC exact-once independent (identity from immutable facts)
VF-XCH-015,11.3,BASE-VERIFY,Base,Confirm post-issuance replay/duplicate rejected,Confirm replay accepted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Replay rejection
VF-XCH-016,11.3,SRC-RELEASE,Source,Confirm proof failure never blocks principal release,Confirm principal blocked,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Proof failure vs principal
VF-XCH-017,11.3,SRC-EVID + RELAY,Source/Off-chain,Confirm no discretionary approver; per-env verifiable proof paths (Section O); no fixed project signer set,Confirm discretionary approver; confirm fixed signer collusion accepted,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,No discretionary approver; deployable proof paths DESIGN DEFINED for 15 envs (Section O); proof-verification path also enforces preflight + one-or-three Handshake on non-stateful chains
VF-XCH-018,11.4,AXELAR-ITS,Base/remote,Confirm Axelar ITS mandatory; not replaceable,Confirm other bridge used,N/A,Axelar ITS,RESOLVED — ARCHITECTURE DEFINED,Axelar mandatory
VF-XCH-019,11.4,AXELAR-ITS + BASE-TOK-*,Base/remote,Confirm no independent per-chain supply,Confirm independent supply,N/A,Axelar ITS,RESOLVED — ARCHITECTURE DEFINED,Single supply
VF-XCH-020,11.4,AXELAR-ITS,Base/remote,Confirm every interchain representation part of one globally reconciled supply,Confirm unreconciled supply,N/A,Axelar ITS,RESOLVED — ARCHITECTURE DEFINED,Global reconciliation
VF-XCH-021,11.4,AXELAR-ITS + BASE-CAP,Base/remote,Confirm transport not new issuance; no capacity increase/restoration/independent allowance,Confirm transport counted as issuance,N/A,Axelar ITS,RESOLVED — ARCHITECTURE DEFINED,Transport not issuance
VF-PRI-001,12,SRC-LOCK,Source,Confirm fee removed/irrevocably designated at creation; remaining = principal,Confirm fee not designated,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Principal definition
VF-PRI-002,12,SRC-RELEASE,Source,Confirm principal released only once,Confirm double release,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Single release
VF-PRI-003,12,SRC-RELEASE,Source,Confirm release only to bound user/destination,Confirm other destination,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Release destination
VF-PRI-004,12,SRC-RELEASE,Source,Confirm no price/oracle for release,Confirm oracle required,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Release no oracle
VF-PRI-005,12,SRC-RELEASE,Source,Confirm no Base/epoch/registry/relayer/admin for release,Confirm dependency for release,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Release independence
VF-PRI-006,12,SRC-RELEASE,Source,Confirm no early release path in the recognized design,Confirm early release,N/A,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,No early release; XRPL recognized design must remove EscrowCancel early-cancel path (C.10; DESIGN DEFINED); otherwise RESOLVED — DEPLOYABLE MECHANISM ESTABLISHED; principal of unrecognized over-limit attempt remains releasable at maturity (Section Q.4.1); fee actually transferred to Dev Fund is permanently non-refundable even if later rejected (settled Pass 5; R.11)
VF-SUP-001,13.1,BASE-CAP,Base,Confirm every issuance path reconciles against global lifetime hard cap,Confirm unreconciled path,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Global cap reconciliation
VF-SUP-002,13.1,BASE-CAP,Base,Confirm Commitment Vault + stake rewards draw same VCLM lifetime hard cap,Confirm separate caps,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Shared VCLM cap
VF-SUP-003,13.1,BASE-CAP,Base,Confirm burning reduces circulating supply only; not lifetime issuance/capacity,Confirm burn restores capacity,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Burn no restoration
VF-SUP-004,13.1,BASE-ACT,Base,Confirm activation uses cumulative lifetime issuance not circulating/burned/time/governance,Confirm other measure,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Activation measure
VF-SUP-005,13.2,BASE-CAP + BASE-ISSUE,Base,Confirm issuance exceeding remaining capacity rejected in full (issuance separate from fee verification/RAC),Confirm partial issuance; confirm RAC gated on issuance,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Full rejection; RAC independent
VF-SUP-006,13.2,BASE-ISSUE,Base,Confirm partial issuance prohibited; no substitute token/recipient/reduced output,Confirm substitute,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,No partial
VF-SUP-007,13.2,BASE-VERIFY,Base,Confirm rejected attempt reserves no capacity and does not consume lock id (RAC may still record on fee verification),Confirm id consumed on reject; confirm RAC blocked,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Reject no consume; RAC independent
VF-SUP-008,13.2,SRC-RELEASE,Source,Confirm permanent impossible issuance = no refund/reversal; principal releasable; verified fee still creates RAC unless cap zero,Confirm refund/reversal,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Permanent failure; RAC on fee verification
VF-SUP-009,13.3,BASE-EPOCH + BASE-CAP,Base,Confirm epoch reward not fitting capacity (phase-2 allocate) mints zero/closes/marks credits used,Confirm partial epoch mint,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Epoch cap rejection at allocation
VF-SUP-010,13.3,BASE-EPOCH,Base,Confirm later smaller complete epoch reward issued if fits capacity (phase-2 allocate),Confirm later reward blocked,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Later epoch reward
VF-SUP-011,13.3,BASE-STAKE,Base,Confirm at zero VCLM capacity stake enters terminal state,Confirm non-terminal,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Stake terminal trigger
VF-SUP-012,13.3,BASE-RAC + SRC-FEE,Base/Source,Confirm at zero VCLM capacity fees still reach Dev Fund for valid CHONX output but no RAC (fee verification proceeds),Confirm RAC created,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Post-cap fees; no RAC
VF-SUP-013,13.4,BASE-CAP,Base,Confirm only protocol-authorized Base issuance increases lifetime issuance,Confirm transport counted,N/A,Axelar ITS,RESOLVED — ARCHITECTURE DEFINED,Issuance source
VF-SUP-014,13.4,AXELAR-ITS,Base/remote,Confirm Axelar transport not counted as new CV/stake/forge issuance,Confirm transport counted,N/A,Axelar ITS,RESOLVED — ARCHITECTURE DEFINED,Transport not issuance
VF-SUP-015,13.4,SRC-LOCK,Source,Confirm preflight reserves no capacity/guarantees issuance; communicated before completion,Confirm preflight guarantees,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Preflight no reservation
VF-SEC-001,14,SRC-LOCK + BASE-REG,Source/Base,Confirm incompatible (fee-on-transfer/rebase/callback/malformed) asset rejected unless env handles it; native vs token paths (Section L),Confirm incompatible asset accepted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Asset compatibility; native/token custody paths defined
VF-SEC-002,14,all components,All,Confirm reentrancy/duplicate/partial-state prevented,Confirm reentrancy,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Reentrancy defense
VF-SEC-003,14,all components + BASE-QNORM,All,Confirm no failure path substitutes default asset/price/env/user/recipient/output/duration/mult/destination/precision,Confirm substitution incl. false precision,N/A,Asset-precision metadata (I.6),RESOLVED — ARCHITECTURE DEFINED,No default substitution; precision non-forgeable (immutable metadata)
VF-SEC-004,14,BASE-VERIFY,Base,"Confirm lock id consumed only after successful issuance (RAC recorded on fee verification, separate; identity from immutable facts)",Confirm premature consumption; confirm RAC consumes id,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Consume on success; RAC separate (immutable-facts identity)
VF-SEC-005,14,RELAY + PRICE-DELIVER,Off-chain,Confirm relayer/submitter obtains no parameter/value authority; signature not truth,Confirm authority granted,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Relayer no authority
VF-SEC-006,14,SRC-RELEASE,Source,Confirm principal release independent of all Base/external dependencies,Confirm dependency,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Principal independence (incl. unrecognized over-limit attempt principal releasable at maturity; Section Q.4.1); fee actually transferred to Dev Fund remains non-refundable even if later rejected (settled Pass 5; R.11)
VF-DEP-001,15,DEPLOY-FIN,Deployment,Confirm system inactive until all required config populated+validated (incl. asset-precision metadata + CHONX activation recording),Confirm activation with gaps,Confirm full config,N/A,RESOLVED — ARCHITECTURE DEFINED,Activation gate
VF-DEP-002,15,DEPLOY-FIN,Deployment,Confirm incomplete/missing/provisional/guessed/zero/inconsistent config cannot finalize,Confirm finalize with bad config,Confirm consistency,N/A,RESOLVED — ARCHITECTURE DEFINED,No bad finalization
VF-DEP-003,15,DEPLOY-FIN,Deployment,Confirm post-finalization no config change/upgrade/intervention/replacement,Confirm post-finalization change,Confirm immutability,N/A,RESOLVED — ARCHITECTURE DEFINED,Post-finalization immutability
VF-DEP-004,15,DEPLOY-FIN,Deployment,Confirm implementer provides verifiable evidence deployed config matches spec,Confirm no evidence,Confirm evidence,N/A,RESOLVED — ARCHITECTURE DEFINED,Config evidence
VF-DEP-005,15,DEPLOY-MANIFEST,Deployment,Confirm manifest records addresses/ids/hashes/compiler/lockfiles/bytecode + preserves registry artifact + asset-precision metadata; conformity under VF-REG-011,Confirm missing manifest,Confirm manifest complete,N/A,RESOLVED — ARCHITECTURE DEFINED,Manifest contents incl. asset-precision metadata
VF-DEP-006,15,DEPLOY-FIN,Deployment,Confirm temporary authority irreversibly terminated before finalization,Confirm authority remains,Confirm termination,N/A,RESOLVED — ARCHITECTURE DEFINED,Authority termination
VF-DEP-007,15,VERIFY-IMMUT,Verification,Confirm absence of proxy/pause/rescue/upgrade independently verifiable,Confirm upgrade path present,Confirm no paths,N/A,RESOLVED — ARCHITECTURE DEFINED,Immutability verification
VF-DEP-008,15,DEPLOY-FIN,Deployment,Confirm prototype does not require final addresses and does not authorize broadcast,Confirm prototype broadcasts,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Prototype not deployment
VF-VER-001,16,VERIFY-TEST,Tests,Confirm each requirement maps to contracts/programs/functions/tests/checks,Confirm unmapped requirement,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Traceability (this CSV)
VF-VER-002,16,VERIFY-TEST,Tests,Confirm positive tests cover every successful lifecycle (incl. RAC-on-fee-verification; delayed epoch allocate; per-identity Handshake one-or-three; causal CHONX receipt via source flag or proof-verification path; chain-equivalent designs; Pass 5: first qualifying attempt succeeds for a one-use identity; newly generated release public key completes its own one Handshake),Confirm missing positive,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Positive tests verify required outcomes (Section Q.3/Q.7) not implementation uniformity
VF-VER-003,16,VERIFY-TEST,Tests,Confirm negative tests cover invalid amounts/assets/prices/proofs/destinations/recipients/outputs/replays/early releases/cap breaches/unauthorized control/duplicate RAC/false precision/over-limit-qualifying-Handshake-by-same-identity (2nd for one-use; 4th for three-use)/arbitrary-raw-tx-creates-no-rights/timestamp-tolerance-invented/second-attempt-blocked-by-official-application/second-independently-broadcast-not-recognized/concurrent-firsts-cannot-both-be-recognized/stale-state-cannot-authorize/pending-blocks-official-submission/fee-actually-reached-Dev-Fund-not-refunded/no-discretionary-refund-mechanism/same-release-public-key-identity-across-address-encodings-change-outputs-maturities-script-wrappers/second-qualifying-Handshake-by-same-release-public-key-not-recognized/newly-generated-release-public-key-succeeds-own-Handshake/noncanonical-key-encoding-normalized-or-rejected/ambiguous-or-multi-key-maturity-release-rejected-for-Handshake/mempool-eviction-without-invalidation-remains-pending/utxo-still-valid-rebroadcastable-not-cleared-by-time/finalized-conflicting-utxo-spend-clears-original/evm-same-nonce-replacement-clears-original/solana-recent-blockhash-expiry-clears-non-durable-nonce/durable-nonce-advancement-clears-superseded/xrpl-lastledgersequence-expiry/stellar-finite-time-or-sequence-consumption/no-objectively-pending-identity-receives-second-submission/no-failed-invalid-replaced-expired-unrecognized-consumes-allowance,Confirm missing negative,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Negative tests verify outcomes (Section Q.7); removed: person-level/cross-wallet/anti-Sybil/wallet-clustering/rejection-for-creating-another-wallet (new wallet permitted; Section Q.2)
VF-VER-004,16,VERIFY-TEST,Tests,Confirm boundary tests cover thresholds/timestamps/fee rounding/per-identity Handshake applicable allowance (one-or-three)/multiplier transitions/epoch boundaries/term expirations/lifetime cap/precision rounding/allowance-consumption-at-source-completion-vs-recognition/release-public-key-identity-stability-across-encodings/pending-attempt-objective-disposition-and-invalidation-boundaries,Confirm missing boundary,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Boundary tests (per-identity Handshake applicable allowance: one or three; Pass 5 adds concurrency/latency/recovery per Section Q.7)
VF-VER-005,16,VERIFY-TEST,Tests,Confirm principal-isolation tests under Base/price/relayer/epoch/external failure,Confirm missing isolation test,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Principal isolation tests
VF-VER-006,16,VERIFY-TEST,Tests,Confirm independent reproduction > self-reported pass counts,Confirm self-report only,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Independent reproduction
VF-VER-007,16,VERIFY-TEST,Tests,Confirm no package declared production/deployment-ready merely for compile/passing tests,Confirm premature declaration,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,No premature readiness
VF-VER-008,16,DOC-GOV,Governance process,Confirm code/spec divergence treated as defect or spec matter; code does not prevail,Confirm code prevails,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Spec precedence
VF-PUB-001,17,APP-PUBLIC,Public app,Confirm public/machine-readable reps consistent with current Master Spec,Confirm inconsistent rep,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Consistency
VF-PUB-002,17,APP-PUBLIC,Public app,Confirm price displays identify source + last update; not guaranteed trading price,Confirm guarantee language,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Price display
VF-PUB-003,17,APP-PUBLIC,Public app,Confirm exchange/liquidity activity cannot modify protocol calc/supply,Confirm market alters protocol,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Market non-authoritative
VF-EXT-001,19,DOC-GOV + architecture,Governance/Architecture,Confirm implementer designs within spec requirements/prohibitions and the chain-equivalent outcome principle,Confirm out-of-spec design,N/A,N/A,RESOLVED — ARCHITECTURE DEFINED,Design boundary (Section Q.1); Revision 6 proposed language in Section R not yet enacted
VF-EXT-002,19,DEPLOY-FIN,Deployment,Confirm unavailable address/unfinished deliverable reported incomplete not invented (incl. deployable proof paths DESIGN DEFINED; Cosmos Hub EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE; fee-treatment settled Pass 5; row 54 BCH already in current governing registry),Confirm invented value,Confirm no invention,N/A,RESOLVED — ARCHITECTURE DEFINED,No invention; gaps flagged (DESIGN DEFINED / EVIDENCE REQUIRED per CODA authority Section Q.5); fee-treatment settled (Pass 5); pending-attempt resolution objective-disposition (Pass 6A; Section Q.4.3; R.14) — DESIGN DEFINED where not established
VF-EXT-003,19,DEPLOY-FIN,Deployment,Confirm no live deployment finalized until all deliverables complete+verified (incl. Cosmos Hub feasibility analysis; deployable proof paths; XRPL atomic design; pending-attempt resolution objective disposition; fee-treatment settled Pass 5; BCH already in governing inputs),Confirm finalize with gaps,Confirm complete,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED,Finalization gate blocked by Cosmos Hub chain-native feasibility (EVIDENCE REQUIRED — CHAIN-NATIVE FEASIBILITY ANALYSIS INCOMPLETE) + deployable proof paths (DESIGN DEFINED) + XRPL atomic design (DESIGN DEFINED) + pending-attempt resolution (DESIGN DEFINED — Section Q.4.3 objective disposition; R.14); fee-treatment settled (Pass 5) no longer a blocker; BCH already in current governing inputs
