# GENERATED FILE — DO NOT EDIT BY HAND.
# Tool: tools/generate_traceability_matrix.cjs v1.0.0
# Commit: 861f03c
# Requirements: 209 | traced: 51 | implemented without a named test: 73 | not traced in code: 85
#
# The authored columns come from spec/Vinculum_Finalis_Requirement_Traceability.csv.
# The columns marked (generated) are derived from the repository at the commit above.
# Regenerate with: node tools/generate_traceability_matrix.cjs
#
# "NOT TRACED IN CODE" is expected for governance, process, and website
# requirements that no contract implements. It is not a defect and is not a
# finding; see reviewers/red-team/README.md.
Requirement ID,Specification section,Architecture component,Implemented in (generated),Tested by (generated),Source-environment program (generated),Traceability (generated),Positive test obligation,Negative or boundary test obligation,Deployment verification obligation,Current status
VF-FEE-009,8.2,DEPLOY-FIN,base-contracts/contracts/VinculumFinalisVerifier.sol:configureDevFund | base-contracts/contracts/VinculumFinalisVerifier.sol:registerHandshakeAllowance | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/04_endtoend.test.cjs:VF-FEE-009: an empty destination cannot be registered at all | base-contracts/test/04_endtoend.test.cjs:VF-FEE-009: an unconfigured environment cannot issue,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs | cosmos-hub-vault/contracts/vault/src/msg.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/state.rs,TRACED,Confirm missing/zero/guessed/substitute Dev Fund addresses block deployment,Confirm deployment with placeholder,N/A,DEFERRED EXTERNAL INPUT
VF-FEE-010,8.2,APP-PUBLIC + DEPLOY-FIN,,,,NOT TRACED IN CODE,Confirm prototype exposes destination config without inventing addresses,Confirm prototype invents addresses,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-FEE-011,8.2,SRC-FEE + BASE-RAC,base-contracts/contracts/VinculumFinalisVerifier.sol:finalize | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,,,IMPLEMENTED — NO NAMED TEST,Confirm completed fee non-refundable even if issuance impossible; verified fee still creates RAC (unless VCLM cap zero),Confirm refund issued; confirm RAC gated on issuance success,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-FEE-012,8.2,BASE-VERIFY + SRC-RELEASE + BASE-RAC,,,,NOT TRACED IN CODE,Confirm fee-routing failure prevents issuance + RAC but not principal release,Confirm principal blocked by fee failure; confirm RAC created on fee-routing failure,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-IMM-001,2,DEPLOY-FIN + all components,base-contracts/contracts/VinculumFinalisSynth.sol:balanceOf | base-contracts/contracts/VinculumFinalisToken.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:configureDevFund,base-contracts/test/01_findings.test.cjs:CL-02 · VF-IMM-001/VF-DEP-006: authority terminated at finalization,,TRACED,Confirm no governance/owner/upgrade/pause roles post-finalization,Confirm any admin role absent,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-IMM-002,2,DEPLOY-FIN + all components,,,,NOT TRACED IN CODE,Confirm no actor may alter economics/value,Confirm value redirection absent,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-IMM-003,2,all components,,,,NOT TRACED IN CODE,Confirm post-deployment value movement only from fixed logic,Confirm discretionary movement absent,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-IMM-004,2,DEPLOY-FIN,base-contracts/contracts/VinculumFinalisToken.sol:initialize,,,IMPLEMENTED — NO NAMED TEST,Confirm no temporary control remains,Confirm temporary control removed,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-IMM-005,2,SRC-LOCK + BASE-VERIFY + SRC-RELEASE,base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm external failure prevents unsafe issuance yet allows principal release,Dependency failure test,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-IMM-006,2,DOC-GOV,base-contracts/contracts/CommitmentLock.sol | base-contracts/contracts/VinculumFinalisBaseVault.sol | base-contracts/contracts/VinculumFinalisEvmVault.sol | base-contracts/contracts/VinculumFinalisStake.sol:remainingToAllocate | base-contracts/contracts/VinculumFinalisVerifier.sol:registerAssetPrecision | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,base-contracts/test/09_registration.test.cjs | base-contracts/test/30_cl89_bounded_allocation.test.cjs,,TRACED,Confirm unrepairable defect accepted,Confirm no patch path,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-001,7.1,PRICE-FETCH,base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm price runs twice per day,Confirm run count != 2,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-002,7.1,PRICE-FETCH,,,,NOT TRACED IN CODE,Confirm first valid price accepted; later sources not consulted,Confirm later source consulted after valid,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-003,7.1,PRICE-FETCH,,,,NOT TRACED IN CODE,Confirm no two-source/spread/median/TWAP/10-min freshness,Confirm such requirement present,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-004,7.1,PRICE-FETCH,base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm no hardcoded fallback price,Confirm hardcoded fallback used,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-005,7.1,PRICE-FETCH,base-contracts/contracts/VinculumFinalisVerifier.sol:_verifiedGrossUsdMicro | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,base-contracts/test/02_oracle.test.cjs:VF-ORC-005: a zero price marks the asset unavailable rather than substituting one | base-contracts/test/04_endtoend.test.cjs:CL-01: issuance is impossible without a published price,,TRACED,Confirm no valid price -> asset unavailable until later run,Confirm unavailable asset used,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-006,7.1.1,PRICE-FETCH,,,,NOT TRACED IN CODE,Confirm 4 community-token overrides use exact lookup env/contracts,Confirm override replaced by registry contract,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-007,7.2,PRICE-DELIVER + BASE-VERIFY (separate from source-lock evidence),base-contracts/contracts/VinculumFinalisBaseVault.sol | base-contracts/contracts/VinculumFinalisBaseVault.sol:commitVaultLock | base-contracts/contracts/VinculumFinalisBaseVault.sol:handshakeRemaining | base-contracts/contracts/VinculumFinalisEvmVault.sol | base-contracts/contracts/VinculumFinalisEvmVault.sol:createLock | base-contracts/contracts/VinculumFinalisVerifier.sol:_recoverSigner | base-contracts/contracts/VinculumFinalisVerifier.sol:_registeredPrecision | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity | base-contracts/contracts/VinculumFinalisVerifier.sol:submitPriceBatch | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/02_oracle.test.cjs:CL-01 · VF-ORC-007 signed price records | base-contracts/test/02_oracle.test.cjs:a signature cannot be replayed against a different deployment | base-contracts/test/02_oracle.test.cjs:rejects a batch signed by anyone else | base-contracts/test/02_oracle.test.cjs:rejects a tampered price with a valid signature over different data | base-contracts/test/22_evm_vault.test.cjs,,TRACED,Confirm Base accepts only valid signed/batched record for exact asset; price path distinct from lock evidence,Confirm unsigned/wrong-asset record accepted; confirm price path conflated with lock evidence,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-008,7.2,PRICE-DELIVER,base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity | base-contracts/contracts/VinculumFinalisVerifier.sol:submitPriceBatch,"base-contracts/test/02_oracle.test.cjs:VF-ORC-008: a run must be newer than the last accepted run | base-contracts/test/11_temporal_domain.test.cjs:a run id cannot be reused, so no batch can be replayed | base-contracts/test/11_temporal_domain.test.cjs:no earlier run id can be accepted after a later one",,TRACED,Confirm successful record valid until next run; failed run marks asset unavailable,Confirm stale/failed record used,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-009,7.2,BASE-VERIFY,base-contracts/contracts/VinculumFinalisVerifier.sol:_verifySource,,,IMPLEMENTED — NO NAMED TEST,Confirm reference price at lock creation retained for that lock,Confirm repricing after creation,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-010,7.2,BASE-VERIFY,,,,NOT TRACED IN CODE,Confirm proof delay/retry does not reprice,Confirm delay repricing,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-011,7.2,BASE-VERIFY + BASE-EMIT,base-contracts/contracts/VinculumFinalisEvmVault.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:_daysSinceLaunch | base-contracts/contracts/VinculumFinalisVerifier.sol:hasUsableValuation | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/25_w1_identity_binding.test.cjs:W1-02c · substituting to a higher custody class must not mint | base-contracts/test/25_w1_identity_binding.test.cjs:W1-09a · a package with a rewound valuationTimestamp must not mint,,TRACED,Confirm Valuation Timestamp = finalized source block timestamp,Confirm different timestamp,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-012,7.2,BASE-VERIFY,base-contracts/contracts/VinculumFinalisEvmVault.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac,,,IMPLEMENTED — NO NAMED TEST,Confirm same price determines gross and fee value,Confirm different prices used,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-013,7.2,BASE-EMIT,base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm emission rate selected by Valuation Timestamp,Confirm different rate selection,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-ORC-014,7.2,APP-PUBLIC + PRICE-DELIVER,,,,NOT TRACED IN CODE,Confirm website updates cannot alter protocol calculations,Confirm display alters calc,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-PRI-001,12,SRC-LOCK,,,solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/release_principal.rs | solana-vault/programs/vf-solana-vault/src/lib.rs | solana-vault/programs/vf-solana-vault/src/state.rs,IMPLEMENTED — NO NAMED TEST,Confirm fee removed/irrevocably designated at creation; remaining = principal,Confirm fee not designated,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-PRI-002,12,SRC-RELEASE,base-contracts/contracts/CommitmentLock.sol | base-contracts/contracts/CommitmentLock.sol:confirmFunded,base-contracts/test/11_base_vault.test.cjs:releases at maturity to the bound destination when called by a stranger,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs | cosmos-hub-vault/contracts/vault/src/msg.rs | cosmos-hub-vault/contracts/vault/src/state.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/release_principal.rs | solana-vault/programs/vf-solana-vault/src/state.rs,TRACED,Confirm principal released only once,Confirm double release,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-PRI-003,12,SRC-RELEASE,base-contracts/contracts/CommitmentLock.sol:confirmFunded,base-contracts/test/11_base_vault.test.cjs:releases at maturity to the bound destination when called by a stranger,cosmos-hub-vault/contracts/vault/src/msg.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/events.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/instructions/release_principal.rs | solana-vault/programs/vf-solana-vault/src/state.rs,TRACED,Confirm release only to bound user/destination,Confirm other destination,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-PRI-004,12,SRC-RELEASE,,,cosmos-hub-vault/contracts/vault/src/tests.rs | solana-vault/programs/vf-solana-vault/src/instructions/release_principal.rs,IMPLEMENTED — NO NAMED TEST,Confirm no price/oracle for release,Confirm oracle required,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-PRI-005,12,SRC-RELEASE,,,solana-vault/programs/vf-solana-vault/src/instructions/release_principal.rs,IMPLEMENTED — NO NAMED TEST,Confirm no Base/epoch/registry/relayer/admin for release,Confirm dependency for release,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-PRI-006,12,SRC-RELEASE,,"base-contracts/test/11_base_vault.test.cjs:releases without consulting the verifier, the price feed, or the factory",cosmos-hub-vault/contracts/vault/src/error.rs,TRACED,Confirm no early release path in the recognized design,Confirm early release,N/A,DESIGN DEFINED — DEPLOYABILITY EVIDENCE REQUIRED
VF-PUB-001,17,APP-PUBLIC,,,,NOT TRACED IN CODE,Confirm public/machine-readable reps consistent with current Master Spec,Confirm inconsistent rep,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-PUB-002,17,APP-PUBLIC,,,,NOT TRACED IN CODE,Confirm price displays identify source + last update; not guaranteed trading price,Confirm guarantee language,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-PUB-003,17,APP-PUBLIC,,,,NOT TRACED IN CODE,Confirm exchange/liquidity activity cannot modify protocol calc/supply,Confirm market alters protocol,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-RAC-001,9,BASE-VERIFY,base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm Verified USD Fee Value = accepted USD valuation of actual rounded fee (verified precision),Confirm different valuation,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-RAC-002,9,BASE-RAC,base-contracts/contracts/VinculumFinalisVerifier.sol:finalize | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac,,,IMPLEMENTED — NO NAMED TEST,Confirm RAC = 60% of Verified USD Fee Value on fee verification,Confirm different percentage; confirm RAC only on issuance success,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-RAC-003,9,BASE-RAC,base-contracts/contracts/VinculumFinalisStake.sol:mint | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm RAC assigned to 10-day epoch recorded on Base (at fee verification),Confirm assignment to wrong epoch,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-RAC-004,9,BASE-EPOCH (two-phase),base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:closeEpoch | base-contracts/contracts/VinculumFinalisStake.sol:racEpoch | base-contracts/contracts/VinculumFinalisStake.sol:withdrawPosition | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm Epoch Reward Basis = sum of RAC closed in epoch (phase 1 close),Confirm basis miscomputed,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-RAC-005,9,BASE-EPOCH,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:allocateEpoch | base-contracts/contracts/VinculumFinalisStake.sol:closeEpoch | base-contracts/contracts/VinculumFinalisStake.sol:mint | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm Epoch Reward VCLM uses permanent $0.10 Reward Reference Value (phase 2 allocate),Confirm oracle/market price used,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-RAC-006,9,BASE-RAC,base-contracts/contracts/VinculumFinalisStake.sol,,,IMPLEMENTED — NO NAMED TEST,Confirm credit becomes Used only at irreversible epoch allocation (incl. zero-reward/cap-rejection),Confirm reuse of credit; confirm marking Used before allocation,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-RAC-007,9,BASE-RAC,,,,NOT TRACED IN CODE,Confirm RAC does not transfer/reserve/collateralize/encumber Dev Fund asset,Confirm encumbrance,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-RAC-008,9,BASE-RAC,base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac,,,IMPLEMENTED — NO NAMED TEST,Confirm after VCLM capacity=0 later fees create no RAC (fee verification still proceeds),Confirm RAC after cap,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-001,6.1,BASE-REG,base-contracts/contracts/VinculumFinalisBaseVault.sol | base-contracts/contracts/VinculumFinalisBaseVault.sol:assetPrecisionTable | base-contracts/contracts/VinculumFinalisVerifier.sol | base-contracts/contracts/VinculumFinalisVerifier.sol:_registeredPrecision | base-contracts/contracts/VinculumFinalisVerifier.sol:recordFeeAndRac | base-contracts/contracts/VinculumFinalisVerifier.sol:verifyAndMint,base-contracts/test/25_w1_identity_binding.test.cjs:W1-02a · a package naming a different canonicalAssetId must not mint | base-contracts/test/25_w1_identity_binding.test.cjs:W1-02c · substituting to a higher custody class must not mint,solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs,TRACED,"Confirm deployed registry = exactly 1,001 entries",Confirm count != 1001,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-002,6.1,BASE-REG,,,,NOT TRACED IN CODE,Confirm S1 = Ethereum USDC+USDT only,Confirm other stablecoin elevated,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-003,6.1,BASE-REG,,,,NOT TRACED IN CODE,Confirm S2 = native ETH/BTC + Ethereum AAVE/LINK/UNI only,Confirm other S2 identity,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-004,6.1,BASE-REG,,,,NOT TRACED IN CODE,Confirm remaining 994 = S3,Confirm S3 count != 994,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-005,6.1,BASE-REG,,,,NOT TRACED IN CODE,Confirm wrapped/bridged/derivative/alt-chain remain S3 unless one of 7 elevated,Confirm WETH/WBTC elevated to S2,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-006,6.1,BASE-MULT,,,,NOT TRACED IN CODE,Confirm S1/S2 multipliers apply equally for VCLM or activated CHONX output,Confirm output-dependent multiplier,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-007,6.1,BASE-STAKE,,,,NOT TRACED IN CODE,Confirm classification affects initial issuance only; never Treasury Reward Stake Weight,Confirm classification affects stake weight,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-008,6.1,BASE-REG + SRC-LOCK,,,,NOT TRACED IN CODE,Confirm VCLM/CHONX/SYNTH excluded from registry as inputs,Confirm protocol token in registry,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-009,6.1,BASE-REG,,,,NOT TRACED IN CODE,Confirm WETH reference is pricing metadata; native ETH = S2; WETH not elevated,Confirm WETH = S2,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-010,6.1,BASE-REG,,,,NOT TRACED IN CODE,Confirm no entry add/remove/reclassify/re-identify post-finalization,Confirm post-finalization change accepted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-REG-011,6.3,BASE-REG,,,,NOT TRACED IN CODE,"Confirm machine-readable registry conforms: 1,001 records with matching row/symbol/name/env/contract-or-native/class/pricing fields",Confirm non-conforming registry accepted,N/A,PARTIAL — EVIDENCE REQUIRED
VF-SEC-001,14,SRC-LOCK + BASE-REG,,,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/instructions/commit_vault_lock.rs | solana-vault/programs/vf-solana-vault/src/lib.rs,IMPLEMENTED — NO NAMED TEST,Confirm incompatible (fee-on-transfer/rebase/callback/malformed) asset rejected unless env handles it; native vs token paths (Section L),Confirm incompatible asset accepted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SEC-002,14,all components,,,cosmos-hub-vault/contracts/vault/src/contract.rs | cosmos-hub-vault/contracts/vault/src/error.rs,IMPLEMENTED — NO NAMED TEST,Confirm reentrancy/duplicate/partial-state prevented,Confirm reentrancy,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SEC-003,14,all components + BASE-QNORM,base-contracts/contracts/VinculumFinalisVerifier.sol:registerAssetPrecision,base-contracts/test/09_registration.test.cjs:VF-SEC-003: an unrecognized custody class is rejected at registration | base-contracts/test/09_registration.test.cjs:custody path is bounded to native or token,,TRACED,Confirm no failure path substitutes default asset/price/env/user/recipient/output/duration/mult/destination/precision,Confirm substitution incl. false precision,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SEC-004,14,BASE-VERIFY,,,,NOT TRACED IN CODE,"Confirm lock id consumed only after successful issuance (RAC recorded on fee verification, separate; identity from immutable facts)",Confirm premature consumption; confirm RAC consumes id,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SEC-005,14,RELAY + PRICE-DELIVER,base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,"base-contracts/test/02_oracle.test.cjs:VF-SEC-005: any address may submit; the submitter gains no authority | base-contracts/test/13_base_e2e.test.cjs:mints against a real Base lock, called by an unprivileged relayer",,TRACED,Confirm relayer/submitter obtains no parameter/value authority; signature not truth,Confirm authority granted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-SEC-006,14,SRC-RELEASE,base-contracts/contracts/CommitmentLock.sol,"base-contracts/test/11_base_vault.test.cjs:releases without consulting the verifier, the price feed, or the factory",cosmos-hub-vault/contracts/vault/src/msg.rs | solana-vault/programs/vf-solana-vault/src/error.rs | solana-vault/programs/vf-solana-vault/src/instructions/release_principal.rs,TRACED,Confirm principal release independent of all Base/external dependencies,Confirm dependency,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-001,10,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:remainingToAllocate,,,IMPLEMENTED — NO NAMED TEST,Confirm stake active from launch; not dependent on CHONX activation,Confirm stake gated on CHONX,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-002,10,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:_getTokenMultiplier | base-contracts/contracts/VinculumFinalisStake.sol:_getWeight | base-contracts/contracts/VinculumFinalisStake.sol:createPosition,"base-contracts/test/10_bps_domain.test.cjs:VF-STK-002: every value outside {0,1,2} is rejected",,TRACED,Confirm only VCLM/CHONX/SYNTH stakable,Confirm other token staked,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-003,10.1,BASE-STAKE + BASE-MULT,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:createPosition | base-contracts/contracts/VinculumFinalisStake.sol:mint | base-contracts/contracts/VinculumFinalisStake.sol:queueExtension,base-contracts/test/10_bps_domain.test.cjs:§10.1: an unlisted duration is rejected,,TRACED,Confirm only listed token+duration multipliers apply,Confirm other multiplier,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-004,10.1,BASE-EPOCH,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisToken.sol | base-contracts/contracts/VinculumFinalisToken.sol:initialize,"base-contracts/test/00_smoke.test.cjs | base-contracts/test/01_findings.test.cjs:VF-STK-004: stake has no CHONX minting privilege | base-contracts/test/05_staking_lifecycle.test.cjs:VF-STK-004: the reward is newly minted VCLM, raising total supply",,TRACED,Confirm rewards paid only in newly minted VCLM,Confirm reward in other token,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-005,10.1,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol,,,IMPLEMENTED — NO NAMED TEST,Confirm S1/S2/S3 + acquisition history never affect Weight,Confirm classification affects Weight,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-006,10.2,BASE-EPOCH,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:mint | base-contracts/contracts/VinculumFinalisStake.sol:withdrawPosition | base-contracts/contracts/VinculumFinalisVerifier.sol:remainingChonxCapacity,,,IMPLEMENTED — NO NAMED TEST,Confirm every epoch = exactly 10 days; delayed processing never changes boundaries,Confirm epoch length differs; confirm boundary shifted by delay,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-007,10.2,BASE-RAC,base-contracts/contracts/VinculumFinalisStake.sol,,,IMPLEMENTED — NO NAMED TEST,Confirm credit belongs to epoch recorded; not added to ended epoch,Confirm credit added to ended epoch,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-008,10.2,BASE-EPOCH,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:closeEpoch,,,IMPLEMENTED — NO NAMED TEST,Confirm anyone may finalize after scheduled end (phase 1 close),Confirm finalization restricted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-009,10.2,BASE-EPOCH,base-contracts/contracts/VinculumFinalisStake.sol,,,IMPLEMENTED — NO NAMED TEST,Confirm delayed finalization does not shift/lengthen/shorten/reset epoch boundary,Confirm boundary shifted,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-010,10.2,BASE-EPOCH,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:closeEpoch | base-contracts/contracts/VinculumFinalisStake.sol:remainingToAllocate,"base-contracts/test/05_staking_lifecycle.test.cjs:a staker is paid through closeEpoch, allocateEpoch and claim",,TRACED,Confirm pending epochs finalized in chronological order,Confirm out-of-order finalization,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-011,10.3,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:_qualifiesForEpoch | base-contracts/contracts/VinculumFinalisStake.sol:allocateEpoch | base-contracts/contracts/VinculumFinalisStake.sol:getPositionWeight,,,IMPLEMENTED — NO NAMED TEST,Confirm position beginning after epoch start does not qualify for N,Confirm late position qualifies,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-012,10.3,BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:getPositionWeight,"base-contracts/test/05_staking_lifecycle.test.cjs:a staker is paid through closeEpoch, allocateEpoch and claim",,TRACED,Confirm position expiring before end of N+1 does not qualify for N,Confirm expired position rewarded,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-013,10.3,BASE-STAKE + BASE-EPOCH,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:allocateEpoch | base-contracts/contracts/VinculumFinalisStake.sol:closeEpoch | base-contracts/contracts/VinculumFinalisStake.sol:withdrawPosition,base-contracts/test/27_cl86_verify_before_credit.test.cjs | base-contracts/test/29_withdrawal_forfeit.test.cjs,,TRACED,Confirm entitlement for N fixed only after scheduled end of N+1 (phase 2 allocate),Confirm earlier fixation,N/A,RESOLVED — ARCHITECTURE DEFINED
VF-STK-014,10.3,BASE-EPOCH + BASE-STAKE,base-contracts/contracts/VinculumFinalisStake.sol | base-contracts/contracts/VinculumFinalisStake.sol:allocateEpoch | base-contracts/contracts/VinculumFinalisStake.sol:closeEpoch,"base-contracts/test/28_cl87_complete_epoch_reward.test.cjs | base-contracts/test/28_cl87_complete_epoch_reward.test.cjs:mints totalReward, not the rounded-down sum, and leaves dust unreachable | base-contracts/test/30_cl89_bounded_allocation.test.cjs",,TRACED,Confirm Epoch Reward VCLM minted once to immutable stake contract only after eligibility period elapsed; proportional entitlements recorded,Confirm per-position minting; confirm mint before N+1 end,N/A,RESOLVED — ARCHITECTURE DEFINED
