Requirement ID,Governing text (exact — Master Specification Revision 6),Enforcing component,State transition / proof,Positive test,Negative test,Boundary test,Production evidence,Result,Explanation / refs
VF-VER-008,"A divergence between code and this specification is an implementation defect or a newly identified specification matter; code does not prevail by default.","process","Spec precedence","Spec prevails","Code prevails (negative)","N/A","Process","SATISFIED (process)","Spec precedence honored throughout"
VF-EXT-001,"The implementer may design a chain-native architecture only within the requirements and prohibitions of this specification. A design is judged by equivalent required outcomes, security, and economic performance rather than resemblance to an EVM contract.","architecture","Chain-equivalent design","Within spec","Out-of-spec design rejected","N/A","This report","SATISFIED (principle governing)","Chain-equivalent principle is governing; no-admin CosmWasm is acceptable; design within spec"
VF-EXT-002,"An unavailable external address or unfinished architecture deliverable must be reported as incomplete rather than replaced with an invented value or behavior.","honest reporting","Report incomplete","Gaps flagged","Invented value (negative)","N/A","This report flags C4b + deferred workspaces","SATISFIED (process)","No invention; gaps flagged (C4b Dev Fund, deferred workspaces)"
VF-EXT-003,"No live deployment may be finalized until every deliverable required for that deployment has been completed and verified.","finalization gate","Gate blocks on C1-C7","Not finalized with gaps","Finalize with gaps (negative)","N/A","C1-C7","CONDITIONALLY SATISFIED","Not finalized; visibly blocked; gate blocks on C1-C7"
VF-FEE-001,"The Dev Fund receives 100% of each actual Commitment Vault fee.","contract fee transfer to fixed Dev Fund","100% fee to Dev Fund","100% to Dev Fund","Partial fee rejected","N/A","C2 + C4b","CONDITIONALLY SATISFIED","Bank transfer of full fee to fixed destination; pending C2/C4b"
VF-FEE-002,"A fee remains in its original asset; no swapping, conversion, bridging, or division among destinations occurs.","contract original-form routing","Fee in original asset (native ATOM)","Original form","Conversion rejected","N/A","C2","CONDITIONALLY SATISFIED","Native ATOM fee in original form; pending C2"
VF-FEE-003,"Commitment Vault principal is never transferred to the Dev Fund.","contract principal not to Dev Fund","Principal not to Dev Fund","Principal stays","Principal to Dev Fund (negative)","N/A","C2","CONDITIONALLY SATISFIED","Contract retains principal; pending C2"
VF-FEE-004,"Each of the 17 supported environments has one fixed and immutable Dev Fund destination.","deployment config","One fixed Dev Fund per env","One fixed destination","Multiple/variable rejected","N/A","C4b (Cosmos Hub Dev Fund address deferred per Section 8.2)","CONDITIONALLY SATISFIED","One fixed destination/env is the rule; Cosmos Hub address is deferred external input (C4b)"
VF-FEE-005,"Any asset-specific receiving account required by an environment must remain deterministically bound to that environment's fixed Dev Fund destination.","contract deterministic binding","Deterministic binding","Deterministic","Non-deterministic (negative)","N/A","C4b","CONDITIONALLY SATISFIED","Native ATOM deterministic to fixed Dev Fund; pending C4b"
VF-FEE-006,"A user, relayer, implementer, or external message may not substitute another fee destination.","contract no substitution","No substitution","No substitution","Substitution rejected","N/A","C2","CONDITIONALLY SATISFIED","Contract hardcodes fixed destination; pending C2"
VF-FEE-009,"Missing, zero, guessed, or substitute Dev Fund addresses cannot complete a deployment package.","deployment gate","Reject placeholder addresses","Complete with real address","Placeholder rejected","N/A","C4b","CONDITIONALLY SATISFIED","No placeholder; Cosmos Hub Dev Fund address deferred (C4b)"
VF-FEE-011,"A fee actually and irreversibly transferred to the configured Dev Fund destination remains permanently non-refundable even if the source transaction is later unrecognized, over-limit, or permanently unable to authorize Base issuance. No discretionary refund mechanism exists.","contract irreversible transfer; no refund path","Fee non-refundable; no refund mechanism","Fee non-refundable","Refund issued (negative)","N/A","C2 + C4b","CONDITIONALLY SATISFIED","Bank transfer to fixed destination irreversible; settled rule; pending C2/C4b"
VF-FEE-012,"Fee-routing failure prevents Base issuance and Reward-Accounting Credit but never prevents release of matured Commitment Vault principal.","on-chain release independent","Fee failure blocks issuance only","Release after fee failure","Principal blocked (negative)","N/A","C2 + C3","CONDITIONALLY SATISFIED","Principal release independent of fee routing; pending C2/C3"
